StateAB,State,CityID,City,Last_name,First_name,Full_name,MayorID,Twitter_handle,Twitter_website,Race_White,Race_Black,Race_Hispanic,Race_Other,Gender_Male,Gender_Female,Gender_CM,,
AZ,Arizona,44,Tucson,Rothschild,Jonathan,Jonathan Rothschild,44,jrothschildaz,twitter.com/jrothschildaz,1,0,0,0,1,0,,,
AZ,Arizona,45,Yuma,Nicholls,Douglas J.,Douglas J. Nicholls,45,yumafirst AND mayornicholls,twitter.com/yumafirst twitter.com/mayornicholls,1,0,0,0,1,0,M,,
AZ,Arizona,46,Queen Creek,Barney,Gail,Gail Barney,46,mayorbarney,twitter.com/mayorbarney,1,0,0,0,1,0,M,,
AZ,Arizona,47,San Luis,Sanchez,Gerardo 'Jerry',Gerardo 'Jerry' Sanchez,47,N/A,N/A,0,0,1,0,1,0,M,,
AR,Arkansas,48,Little Rock,Stodola,Mark,Mark Stodola,48,littlerockmayor,twitter.com/littlerockmayor,1,0,0,0,1,0,M,,
AR,Arkansas,49,Fort Smith,Sanders,Sandy,Sandy Sanders,49,N/A,N/A,1,0,0,0,1,0,M,,
AR,Arkansas,50,Fayetteville,Jordan,Lioneld,Lioneld Jordan,50,lioneldjordan,twitter.com/lioneldjordan,1,0,0,0,1,0,M,,
AR,Arkansas,51,Springdale,Sprouse,Doug,Doug Sprouse,51,mayorsprouse,twitter.com/mayorsprouse,1,0,0,0,1,0,M,,
AR,Arkansas,52,Jonesboro,Perrin,Harold,Harold Perrin,52,mayorperrin,twitter.com/mayorperrin,1,0,0,0,1,0,M,,
AR,Arkansas,53,North Little Rock,Smith,Joe A.,Joe A. Smith,53,N/A,N/A,1,0,0,0,1,0,M,,
AR,Arkansas,54,Conway,Castleberry,Bart,Bart Castleberry,54,bartformayor,twitter.com/bartformayor,1,0,0,0,1,0,M,,
AR,Arkansas,55,Rogers,Hines,Greg,Greg Hines,55,N/A,N/A,1,0,0,0,1,0,M,,
AR,Arkansas,56,Pine Bluff,Washington,Shirley,Shirley Washington,56,pbmayor2016,twitter.com/pbmayor2016,0,1,0,0,0,1,F,,
AR,Arkansas,57,Bentonville,McCaslin,Bob,Bob McCaslin,57,Mayor72712,https://twitter.com/Mayor72712,1,0,0,0,1,0,M,,
AR,Arkansas,58,Hot Springs,McCabe,Pat,Pat McCabe,58,N/A,N/A,1,0,0,0,1,0,F,,
AR,Arkansas,59,Benton,Mattingly,David,David Mattingly,59,N/A,N/A,1,0,0,0,1,0,M,,
AR,Arkansas,60,Texarkana,Penney Bell,Ruth,Ruth Penney Bell,60,N/A,N/A,1,0,0,0,0,1,F,,
AR,Arkansas,61,Sherwood,Hillman Young,Virginia,Virginia Hillman Young,61,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,62,Los Angeles,Garcetti,Eric,Eric Garcetti,62,mayorofla,twitter.com/mayorofla,0,0,1,0,1,0,M,,
CA,California,63,San Diego,Faulconer,Kevin L.,Kevin L. Faulconer,63,kevin_faulconer,twitter.com/kevin_faulconer,1,0,0,0,1,0,M,,
CA,California,64,San Jose,Liccardo,Sam,Sam Liccardo,64,sliccardo,twitter.com/sliccardo,1,0,0,0,1,0,M,,
CA,California,65,San Francisco,Farrell,Mark,Mark Farrell,65,markfarrellsf,twitter.com/markfarrellsf,1,0,0,0,1,0,M,,
CA,California,66,Fresno,Brand,Lee,Lee Brand,66,mayorleebrand,twitter.com/mayorleebrand,1,0,0,0,1,0,M,,
CA,California,67,Sacramento,Steinberg,Darrell,Darrell Steinberg,67,mayor_steinberg,twitter.com/mayor_steinberg,1,0,0,0,1,0,M,,
CA,California,68,Long Beach,Garcia,Robert,Robert Garcia,68,robertgarcialb,twitter.com/robertgarcialb,0,0,1,0,1,0,M,,
CA,California,69,Oakland,Schaaf,Libby,Libby Schaaf,69,libbyschaaf,twitter.com/libbyschaaf,1,0,0,0,0,1,F,,
CA,California,70,Bakersfield,Goh,Karen K.,Karen K. Goh,70,karenkgoh,twitter.com/karenkgoh,0,0,0,1,0,1,F,,
CA,California,71,Anaheim,Tait,Tom,Tom Tait,71,mayortomtait,twitter.com/mayortomtait,1,0,0,0,1,0,M,,
CA,California,72,Santa Ana,Pulido,Miguel A.,Miguel A. Pulido,72,mayorpulido,twitter.com/mayorpulido,0,0,1,0,1,0,M,,
CA,California,73,Riverside,Bailey,Rusty,Rusty Bailey,73,mayor_bailey,twitter.com/mayor_bailey,1,0,0,0,1,0,M,,
CA,California,74,Stockton,Tubbs,Michael D.,Michael D. Tubbs,74,michaeldtubbs,twitter.com/michaeldtubbs,0,1,0,0,1,0,M,,
CA,California,75,Chula Vista,Salas,Mary Casillas,Mary Casillas Salas,75,mayormarysalas,twitter.com/mayormarysalas,0,0,1,0,0,1,F,,
CA,California,76,Fremont,Mei,Lily,Lily Mei,76,lilymei4fremont,twitter.com/lilymei4fremont,0,0,0,1,0,1,F,,
CA,California,77,Irvine,Wagner,Donald P.,Donald P. Wagner,77,donald_wagner,twitter.com/donald_wagner,1,0,0,0,1,0,M,,
CA,California,78,San Bernardino,Davis,R. Carey,R. Carey Davis,78,sbmayordavis,twitter.com/sbmayordavis,1,0,0,0,1,0,M,,
CA,California,79,Modesto,Brandvold,Ted,Ted Brandvold,79,brandvold4mayor,twitter.com/brandvold4mayor,1,0,0,0,1,0,M,,
CA,California,80,Oxnard,Flynn,Timothy B.,Timothy B. Flynn,80,timbflynn,twitter.com/timbflynn,1,0,0,0,1,0,M,,
