FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),under5,5to9,10to14,15to17,18to24,25to34,35to44,45to54,55to64,65to74,75to84,plus85,totalPop,white,black,nativeAm,asian,pacIsl,other,twomore,employed,unemployed,medhhinc,gini
3.45805E+11,"Anacortes city, WA; Mount Vernon-Anacortes, WA Metro Area","Anacortes city, Washington (part); Mount Vernon-Anacortes, Mount Vernon-Anacortes",wa,5.64,4.97,5.07,3.09,6.01,11.19,10.06,12.43,16.56,13.73,7.6,3.64,16229,92.69,0.47,0.79,2.17,0.08,1.09,2.71,94.32,5.68,61922,0.4463
3.45805E+11,"Mount Vernon city, WA; Mount Vernon-Anacortes, WA Metro Area","Mount Vernon city, Washington (part); Mount Vernon-Anacortes, Mount Vernon-Anacortes",wa,8.3,7.04,7.69,4.51,10.51,13.18,11.47,11.29,10.5,8.72,4.91,1.9,33388,73.63,1.34,1.35,3.62,0.17,16.6,3.29,91.87,8.13,49307,0.4402
3.46202E+11,"Muncie city, IN; Muncie, IN Metro Area","Muncie city, Indiana (part); Muncie, Muncie",in,5,4.3,4.26,3.01,28.29,11.53,8.96,10.26,10.41,7.65,4.18,2.16,69583,83.55,9.57,0.19,1.45,0.05,0.96,4.24,88.59,11.41,31373,0.4641
3.46602E+11,"Murray city, KY; Murray, KY Micro Area","Murray city, Kentucky (part); Murray, Murray",ky,4.96,4.21,5.4,1.71,33.48,12.25,8.89,7.9,7.74,6.43,4.59,2.43,18726,86.74,6.15,0.47,2.83,0,0.27,3.54,93.27,6.73,24482,0.5637
3.47002E+11,"Muscatine city, IA; Muscatine, IA Micro Area","Muscatine city, Iowa (part); Muscatine, Muscatine",ia,7.04,7.89,7.35,3.73,9,14.41,11.66,12.8,11.15,7.65,5.41,1.92,23909,88.95,3.06,0.14,1.26,0,3.06,3.54,94.9,5.1,50059,0.4401
3.47403E+11,"Muskegon city, MI; Muskegon, MI Metro Area","Muskegon city, Michigan (part); Muskegon, Muskegon",mi,6.65,5.5,6.56,3.69,12.14,15.18,11.71,13.09,12.64,6.92,3.92,2.02,38086,59.56,31.66,0.83,0.22,0.02,0.99,6.72,83.04,16.96,27359,0.4509
3.47804E+11,"Muskogee city, OK; Muskogee, OK Micro Area","Muskogee city, Oklahoma (part); Muskogee, Muskogee",ok,7.89,7.03,6.82,4.19,10.34,13.23,11.08,11.48,12.57,8.27,4.56,2.55,38605,56.24,16.05,15.56,0.87,0.07,2.85,8.36,92.81,7.19,36232,0.4549
3.48205E+11,"Conway city, SC; Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","Conway city, South Carolina (part); Myrtle Beach-Conway-North Myrtle Beach, Myrtle Beach-Conway-North Myrtle Beach",sc,6.97,5.67,4.63,2.79,22.16,11.13,8.95,9.79,12.2,9.6,4.38,1.74,20631,56.86,41.17,0.06,0.68,0,0.38,0.85,88.76,11.24,37432,0.4641
3.48205E+11,"Myrtle Beach city, SC; Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","Myrtle Beach city, South Carolina (part); Myrtle Beach-Conway-North Myrtle Beach, Myrtle Beach-Conway-North Myrtle Beach",sc,7.24,5.23,3.8,3.53,7.3,14.94,12.6,14.03,13.7,10.45,5.34,1.83,30106,77.88,13.61,0.78,1.61,0.43,3.85,1.83,89.91,10.09,37023,0.5252
3.48205E+11,"North Myrtle Beach city, SC; Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","North Myrtle Beach city, South Carolina (part); Myrtle Beach-Conway-North Myrtle Beach, Myrtle Beach-Conway-North Myrtle Beach",sc,1.78,3.77,2.34,1.49,4.44,8.12,8.94,13.78,21.93,22.97,8.15,2.31,15201,93.65,3.18,0.36,1.49,0,0.24,1.09,93.71,6.29,49863,0.4641
